,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31
Treasury Shares Number,156000000.0,152000000.0,148000000.0,146000000.0,145000000.0
Ordinary Shares Number,445000000.0,449000000.0,453000000.0,455000000.0,456000000.0
Share Issued,601000000.0,601000000.0,601000000.0,601000000.0,601000000.0
Total Debt,6078000000.0,6090000000.0,4086000000.0,4080000000.0,4096000000.0
Tangible Book Value,873000000.0,1107000000.0,1646000000.0,2625000000.0,1809000000.0
Invested Capital,20172000000.0,20468000000.0,19095000000.0,20152000000.0,19409000000.0
Working Capital,1072000000.0,1549000000.0,471000000.0,2833000000.0,2076000000.0
Net Tangible Assets,873000000.0,1107000000.0,1646000000.0,2625000000.0,1809000000.0
Capital Lease Obligations,451000000.0,465000000.0,451000000.0,446000000.0,463000000.0
Common Stock Equity,14545000000.0,14843000000.0,15460000000.0,16518000000.0,15776000000.0
Total Capitalization,18673000000.0,18970000000.0,17598000000.0,20152000000.0,19409000000.0
Total Equity Gross Minority Interest,14545000000.0,14843000000.0,15460000000.0,16518000000.0,15776000000.0
Stockholders Equity,14545000000.0,14843000000.0,15460000000.0,16518000000.0,15776000000.0
Gains Losses Not Affecting Retained Earnings,-309000000.0,-276000000.0,-277000000.0,-285000000.0,-285000000.0
Other Equity Adjustments,-309000000.0,-276000000.0,-277000000.0,-285000000.0,-285000000.0
Treasury Stock,35083000000.0,32612000000.0,30109000000.0,28129000000.0,27146000000.0
Retained Earnings,36911000000.0,35227000000.0,33809000000.0,33346000000.0,32012000000.0
Additional Paid In Capital,13026000000.0,12504000000.0,12037000000.0,11586000000.0,11195000000.0
Capital Stock,0.0,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,15285000000.0,15164000000.0,13291000000.0,13261000000.0,13314000000.0
Total Non Current Liabilities Net Minority Interest,5641000000.0,5690000000.0,3754000000.0,5010000000.0,4980000000.0
Other Non Current Liabilities,420000000.0,446000000.0,435000000.0,376000000.0,352000000.0
Tradeand Other Payables Non Current,585000000.0,591000000.0,668000000.0,514000000.0,498000000.0
Non Current Deferred Liabilities,127000000.0,128000000.0,135000000.0,113000000.0,108000000.0
Non Current Deferred Revenue,127000000.0,128000000.0,135000000.0,113000000.0,108000000.0
Long Term Debt And Capital Lease Obligation,4509000000.0,4525000000.0,2516000000.0,4007000000.0,4022000000.0
Long Term Capital Lease Obligation,381000000.0,398000000.0,378000000.0,373000000.0,389000000.0
Long Term Debt,4128000000.0,4127000000.0,2138000000.0,3634000000.0,3633000000.0
Current Liabilities,9644000000.0,9474000000.0,9537000000.0,8251000000.0,8334000000.0
Other Current Liabilities,,,,,8000000.0
Current Deferred Liabilities,5779000000.0,5558000000.0,5975000000.0,5837000000.0,5375000000.0
Current Deferred Revenue,5779000000.0,5558000000.0,5975000000.0,5837000000.0,5375000000.0
Current Debt And Capital Lease Obligation,1569000000.0,1565000000.0,1570000000.0,73000000.0,74000000.0
Current Capital Lease Obligation,70000000.0,67000000.0,73000000.0,73000000.0,74000000.0
Current Debt,1499000000.0,1498000000.0,1497000000.0,,
Other Current Borrowings,1499000000.0,1498000000.0,1497000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,504000000.0,744000000.0,592000000.0,535000000.0,486000000.0
Current Provisions,107000000.0,105000000.0,107000000.0,111000000.0,99000000.0
Payables And Accrued Expenses,1685000000.0,1502000000.0,1293000000.0,1695000000.0,2300000000.0
Current Accrued Expenses,1126000000.0,945000000.0,754000000.0,1174000000.0,1014000000.0
Payables,559000000.0,557000000.0,539000000.0,521000000.0,1286000000.0
Total Tax Payable,241000000.0,200000000.0,239000000.0,207000000.0,972000000.0
Income Tax Payable,130000000.0,95000000.0,123000000.0,85000000.0,857000000.0
Accounts Payable,318000000.0,357000000.0,300000000.0,314000000.0,314000000.0
Total Assets,29830000000.0,30007000000.0,28751000000.0,29779000000.0,29090000000.0
Total Non Current Assets,19114000000.0,18984000000.0,18743000000.0,18695000000.0,18680000000.0
Other Non Current Assets,1557000000.0,1462000000.0,1265000000.0,1223000000.0,1239000000.0
Non Current Deferred Assets,1548000000.0,1436000000.0,1310000000.0,1191000000.0,1065000000.0
Non Current Deferred Taxes Assets,1548000000.0,1436000000.0,1310000000.0,1191000000.0,1065000000.0
Goodwill And Other Intangible Assets,13672000000.0,13736000000.0,13814000000.0,13893000000.0,13967000000.0
Other Intangible Assets,858000000.0,933000000.0,1011000000.0,1088000000.0,1167000000.0
Goodwill,12814000000.0,12803000000.0,12803000000.0,12805000000.0,12800000000.0
Net PPE,2337000000.0,2350000000.0,2354000000.0,2388000000.0,2409000000.0
Accumulated Depreciation,,,,-1731000000.0,
Gross PPE,2337000000.0,2350000000.0,2354000000.0,4119000000.0,2409000000.0
Leases,,,,275000000.0,
Construction In Progress,,,,2000000.0,
Other Properties,2337000000.0,2350000000.0,2354000000.0,358000000.0,2409000000.0
Machinery Furniture Equipment,,,,1661000000.0,
Buildings And Improvements,,,,1660000000.0,
Land And Improvements,,,,163000000.0,
Properties,,,,0.0,
Current Assets,10716000000.0,11023000000.0,10008000000.0,11084000000.0,10410000000.0
Other Current Assets,1399000000.0,1346000000.0,1131000000.0,1018000000.0,1043000000.0
Hedging Assets Current,,,,,82000000.0
Receivables,1802000000.0,1612000000.0,2057000000.0,2224000000.0,1851000000.0
Accounts Receivable,1802000000.0,1612000000.0,2057000000.0,2224000000.0,1851000000.0
Allowance For Doubtful Accounts Receivable,-17000000.0,-19000000.0,-16000000.0,-16000000.0,-18000000.0
Gross Accounts Receivable,1819000000.0,1631000000.0,2073000000.0,2240000000.0,1869000000.0
Cash Cash Equivalents And Short Term Investments,7515000000.0,8065000000.0,6820000000.0,7842000000.0,7516000000.0
Other Short Term Investments,322000000.0,405000000.0,566000000.0,701000000.0,915000000.0
Cash And Cash Equivalents,7193000000.0,7660000000.0,6254000000.0,7141000000.0,6601000000.0
Cash Equivalents,6622000000.0,7096000000.0,5642000000.0,6523000000.0,5972000000.0
Cash Financial,571000000.0,564000000.0,612000000.0,618000000.0,629000000.0
